上手商品,商品名,交易所,幣別,1大點,分母值,小數位
VIX,VX,CBOE,USD,1000,1,4
JR,RE,CBOT,USD,100,1,1
UBE,UB,CBOT,USD,1000,32,2
MYM,MYM,CBOT,USD,0.5,1,0
YM,YM,CBOT,USD,5,1,0
S,S,CBOT,USD,50,4,2
10YR-T-NOTES,TY,CBOT,USD,1000,64,3
5-YR-NOTE,FV,CBOT,USD,1000,128,4
CBT-MICRO-DOW,MYM,CBOT,USD,0.5,1,0
CBT-MINI-CORN,YC,CBOT,USD,10,8,2
CBT-MINI-SYBN,YK,CBOT,USD,10,8,2
CORN,C,CBOT,USD,50,4,2
SOYBEANS,S,CBOT,USD,50,4,2
SYBEAN-OIL,BO,CBOT,USD,600,1,2
US-2YR-T-NOTE,TU,CBOT,USD,2000,256,2
WHEAT,W,CBOT,USD,50,4,2
SOYBEANS,S,CBT,USD,50,4,2
MINI,YM,CBT,USD,5,1,0
E-MINI,ES,CME,USD,50,1,2
M2K,M2K,CME,USD,5,1,0
MES,MES,CME,USD,5,1,2
NQ,NQ,CME,USD,20,1,2
MNQ,MNQ,CME,USD,2,1,2
AUSTRALIAN-$,AD,CME,USD,10,1,1
B-POUND,BP,CME,USD,6.25,1,0
CDN-DOLLAR,CD,CME,USD,10,1,1
CME-EMINIRUS2K,RTY,CME,USD,50,1,1
CME-LEAN-HOGS,LH,CME,USD,400,1,3
CME-MCRO-NSDQ,MNQ,CME,USD,2,1,2
CME-MCRORUS2K,M2K,CME,USD,5,1,2
CME-MICRO-S&P,MES,CME,USD,5,1,2
FDR-CATTLE,FC,CME,USD,500,1,3
IMM-EMINI-EURO,UROM,CME,USD,6.25,1,4
IMM-EURO-FX,EC,CME,USD,12.5,1,1
IMM-MI-AUD/USD,MAD,CME,USD,1,1,1
IMM-MIC-JY/US,MJY,CME,USD,1.25,1,1
IMM-MI-EUR/USD,ECM,CME,USD,1.25,1,1
IMM-MI-GBP/USD,MBP,CME,USD,0.625,1,0
IMM-NIKKEI-IND,CNK,CME,USD,5,1,0
JAPANESE-YEN,JY,CME,USD,12.5,1,1
NEW-ZEALAND-$,NE,CME,USD,100000,1,4
SWISS-FRANC,SF,CME,USD,12.5,1,0
GD,GC,CMX,USD,100,1,1
HGCP,HG,CMX,USD,2.5,1,0
SIL,MSI,CMX,USD,10,1,1
SV,SI,CMX,USD,50,1,1
MGC,MGC,CMX,USD,10,1,1
COCOA,CC,ICE,USD,10,1,0
FCOJ-A,OJ,ICE,USD,150,1,2
COTTON,CT,ICE,USD,500,1,2
BRENT,B,IPE,USD,10,1,2
FTSE,FT,LIF,BP,10,1,1
NICKEL,NI,LME,USD,6,1,2
LEAD,MPB,LME,USD,25,1,2
CAC,FCH,MAT,EUD,10,1,1
FNG,FNG,NYBOT ,USD,5,1,1
SB,SB,NYBOT ,USD,1120,1,2
DX,DX,NYBOT ,USD,1000,1,3
CL,CL,NYM,USD,1000,1,2
PL,PL,NYM,USD,50,1,1
NG,NG,NYM,USD,10000,1,3
LT-CRUDE,CL,NYMEX,USD,1000,1,2
NYM-EMINI-CRUD,QM,NYMEX,USD,500,1,2
EUR-BOBL,FGBM,REX,EUD,1000,1,2
EUR-BUND,FGBL,REX,EUD,1000,1,2
DAX,DAX,REX,EUD,25,1,0
MINIDAX,DXM,REX,EUD,5,1,0
FTSE-TAIWAN-FU,TWN,SGX,USD,40,1,2
NK,SSI,SMX,JPY,500,1,0
SGP,SG,SMX,SGD,100,1,2
TWN,TWN,SMX,USD,40,1,2
CN,CN,SMX,USD,1,1,0
A50,CN,SMX,USD,1,1,0
CNX,IN,SMX,USD,2,1,1
JY,JY,CME,USD,12.5,1,1
KC,KC,ICE,USD,375,1,2
BZ,BZ,NYM,USD,1000,1,2
HO,HO,NYM,USD,42000,1,0
RB,RB,NYM,USD,42000,1,4
FCH,CH,SMX,USD,#N/A,#N/A,1
CBT-UL-T-BONDS,UB,CBT,USD,1000,32,2
SOYBEAN-ML,SM,CBT,USD,100,1,1
US-T-BONDS,US,CBT,USD,1000,32,3
COPPER,CU,LME,USD,25,1,2
CATTLE,LC,CME,USD,400,1,2
EMINI-S&P-500,ES,CME,USD,50,1,2
CBT-ROUGH-RICE,RR,CBT,USD,2000,1,3
EURO-BUXL,FGBX,REX,EUD,1000,1,2
CT,CT,ICE,USD,500,1,2
